Features,Mean,Std,Median
IR;MOV ;Rho,1.36,1.52,0.86
CPI;MOV ;RV;Rho,2.46,4.5,0.93
CF,1.09,0.62,0.96
CF;MOV ;RV,2.36,2.64,1.06
CAPE;IR;MOV ;Rho,2.1,2.25,1.09
,1.78,1.32,1.2
MOV ;RV;Rho,2.17,2.24,1.22
CF;MOV ;RV;Rho,1.68,0.93,1.34
Rho,1.56,1.06,1.4
DY;MOV ;RV;Rho,1.49,0.8,1.4
CPI;MOV ;Rho,1.67,0.85,1.41
CPI;M2;MOV ;Rho,3.09,3.3,1.46
IR;MOV ;Rho;UN,1.65,0.92,1.49
MOV ;RV;Rho;_AU,3.88,5.27,1.54
CF;MOV ;RV;_LCP,3.14,3.28,1.54
MOV ;Rho,2.22,2.33,1.59
CF;RV,2.28,1.95,1.6
CF;RV;_AU,2.34,1.91,1.61
EMP;MOV ;RV;Rho,2.51,2.94,1.62
CAPE;CF,2.94,3.05,1.62
CAPE,3.81,5.56,1.64
IR;MOV ;RV;Rho,1.82,1.53,1.65
CAPE;EMP;RV,3.6,3.38,1.66
CAPE;EMP,2.42,1.75,1.7
CAPE;MOV ;RV;Rho,1.9,1.07,1.71
CF;CPI;MOV ;Rho,2.79,2.91,1.76
RV,3.99,6.64,1.77
PE;Rho,2.78,2.48,1.8
CF;Rho,2.4,1.59,1.96
IR;MOV ;NYF;Rho,2.24,1.82,1.97
CAPE;Rho,2.08,1.31,1.99
IR;M2;MOV ;Rho,2.93,2.14,2.02
NYF;Rho,2.52,1.64,2.02
CF;RV;Rho;_AU,2.97,2.46,2.05
CF;RV;STP,2.76,1.81,2.07
CPI;GDP;MOV ;Rho,4.33,5.9,2.08
CPI;ED;MOV ;Rho,2.75,2.1,2.08
CAPE;EMP;RV;Rho,2.72,2.15,2.09
CAPE;EMP;RV;Y02,4.98,6.58,2.11
CAPE;CF;RV,2.08,0.76,2.13
IR;MOV ;Rho;_DXY,3.07,2.08,2.17
CF;RV;Y02,2.81,2.34,2.19
MG;MOV ;RV;Rho,3.11,2.23,2.21
ED;MOV ;Rho,2.97,2.46,2.23
CAPE;CF;_GR,3.52,3.3,2.25
MOV ;NYF;Rho,3.39,3.6,2.26
CF;RV;Rho,3.66,3.38,2.27
CF;EMP;MOV ;RV,3.09,1.99,2.31
CAPE;RV,2.73,1.65,2.34
CPI;DIL;MOV ;Rho,4.46,4.38,2.57
CF;DY,3.38,2.73,2.59
CAPE;CF;EMP,3.85,3.61,2.62
CF;IR;RV,6.22,9.09,2.65
CAPE;EMP;RV;STP,4.46,3.43,2.66
CF;RV;Y02;_AU,3.14,2.13,2.7
M2;MOV ;RV;Rho,3.32,3.34,2.74
MOV ;RR;RV;Rho,3.91,2.9,2.74
CF;RV;_OIL,5.66,6.91,2.8
CAPE;CF;MOV ;RV,4.06,4.55,2.81
RV;Rho,4.14,3.42,2.86
CAPE;CF;MOV ,3.84,3.15,2.88
MOV ;Rho;STP,3.71,3.02,2.93
M2;MOV ;Rho,3.58,2.62,3.03
CF;MOV ,6.04,6.96,3.04
CAPE;_DXY,5.25,4.86,3.06
CAPE;CF;_DXY,3.75,2.45,3.07
CF;RV;YSS,4.62,5.7,3.08
CF;MOV ;PE;RV,5.62,5.41,3.08
CF;PE,3.18,1.97,3.2
CAPE;MOV ,3.71,2.41,3.2
CAPE;EMP;MOV ,5.27,5.24,3.22
MOV ;PE;RV;Rho,3.8,3.23,3.24
CAPE;DIL,4.17,2.95,3.24
CF;DY;MOV ;RV,3.66,1.69,3.25
MOV ,5.69,5.18,3.28
CF;MOV ;RV;_OIL,5.0,4.63,3.33
CAPE;EMP;RV;_DXY,5.4,4.61,3.5
CAPE;EMP;_DXY,7.19,10.07,3.54
CF;IR;RV;_AU,4.45,3.38,3.57
CAPE;CF;ED,4.14,2.74,3.69
ED;IR;MOV ;Rho,3.75,1.68,3.7
CF;PE;RV,7.0,6.98,3.72
CF;RV;_AU;_OIL,5.78,7.35,3.74
CF;M2;MOV ;RV,3.96,2.82,3.82
CPI;MOV ;Rho;_DXY,5.65,5.27,3.88
Rho;_DXY,4.41,3.21,3.93
CPI;MOV ;Rho;UN,5.34,4.26,4.1
RR;Rho,4.84,2.43,4.12
MOV ;RV;Rho;_LCP,5.74,6.23,4.2
IR;MOV ;PE;Rho,4.96,4.2,4.28
Rho;YSS,5.62,4.75,4.28
CF;RV;YSS;_AU,5.67,4.69,4.31
CAPE;DIL;EMP;RV,5.57,5.14,4.38
MOV ;RR;Rho,4.65,2.86,4.38
CF;_OIL,7.01,6.11,4.43
CF;MG;MOV ;RV,7.87,8.08,4.44
CAPE;ED;EMP;RV,4.47,2.82,4.46
CF;_DXY,5.17,4.48,4.49
MOV ;RV;Rho;_OIL,5.13,4.13,4.54
IR;MOV ;Rho;_OIL,5.34,4.23,4.57
CAPE;CF;_OIL,5.58,3.17,4.6
CAPE;CF;NYF,7.09,7.15,4.61
CF;RV;_AU;_DXY,14.65,18.65,4.62
CF;RV;STP;_AU,5.84,3.92,4.65
CF;MOV ;RV;_AU,5.9,4.56,4.68
CAPE;EMP;MOV ;RV,7.91,6.35,4.79
CAPE;EMP;IR;RV,7.89,7.99,5.06
CAPE;DIL;EMP,7.73,6.31,5.23
CAPE;NYF,8.86,8.66,5.24
CF;YSS,6.81,4.7,5.57
MOV ;Rho;_DXY,5.8,3.49,5.58
CAPE;_OIL,7.49,6.1,5.64
CAPE;EMP;RV;YSS,6.57,4.95,5.7
PE,6.11,4.52,5.77
CF;DIL;RV;_AU,6.64,5.35,5.82
CAPE;CF;YSS,7.38,5.6,5.83
CF;NYF,5.57,3.06,6.42
CF;MG;RV;_AU,8.75,6.64,6.5
CAPE;YSS,6.75,3.17,6.51
Rho;_OIL,7.92,5.35,6.53
IR;MOV ;RR;Rho,6.27,3.44,6.56
NYF,7.27,5.45,6.76
MG,9.96,7.93,6.78
CAPE;CF;DIL,8.01,5.01,7.08
CPI;MOV ;RR;Rho,7.21,4.27,7.32
CAPE;EMP;MG;RV,10.47,9.65,7.53
MOV ;Rho;_OIL,10.33,7.51,9.48
CPI;MOV ;Rho;_OIL,11.87,7.92,11.01
_OIL,12.73,5.86,12.55
YSS,11.79,7.85,13.08
